sample	status	pages	pairs	overprint	crush	rate	worst_adv_em	worst_page
21790009_[별표 5] 부속시설 사용료(파주스타디움)(파주시 체육시설 관리ㆍ운영 조례).hwp	OK	2	535	0	0	0.0	0.86	1
1411000-201100178_D0150015-1-001_연구진행 점검결과서.hwp	OK	1	261	0	0	0.0	0.891	1
21617659_[별표 3] 상임단원의 실적수당(고양시 시립예술단 설치 및 운영 조례 시행규칙).hwp	OK	1	139	0	0	0.0	0.82	1
36351717_결재문서본문.hwpx	OK	1	258	0	0	0.0	0.88	1
156209722_속기자료.hwp	OK	8	2802	0	0	0.0	0.85	6
1351000-201900034_D0150006-1-000_과업내용서(자원관리과).hwp	OK	3	917	0	0	0.0	0.803	1
21892089_[별지  제2호서식]위촉장(서울특별시 도심 복합개발 지원에 관한 조례 시행규칙).hwp	OK	1	40	0	0	0.0	0.98	1
20278377_[별표 2] 의회 의원 배지 제식(구례군의회기 및 의원 배지 등에 관한 규칙).hwp	OK	1	88	0	0	0.0	0.94	1
36481989_결재문서본문.hwpx	OK	2	136	0	0	0.0	0.97	2
1351000-202400118_D0150010-1-000_정책연구과제_심의신청서.hwp	OK	1	170	0	0	0.0	0.925	1
36307171_결재문서본문.hwpx	OK	2	99	0	0	0.0	0.9	2
156654420_(금융위)241011(보도자료) 2024년 9월중 가계대출 동향(잠정).hwpx	OK	3	969	0	0	0.0	0.77	2
156550187_2.1 식중독예방과.hwpx	OK	2	858	0	0	0.0	0.9	1
156668272_속기자료.hwp	OK	15	5039	0	0	0.0	0.85	9
1410000-200800016_D0150017-2-001_1108_(참고자료)_자동차조선팀,_남북_조선협력단지_건설_관련_1차_현지실사_완료.hwp	OK	1	34	0	0	0.0	0.949	1
156716501_(250925) 보도자료_산림청, 민·관 산불진화헬기 조종사 합동교육 실시.hwp	OK	1	515	0	0	0.0	0.774	1
1260000-201200009_D0150015-1-001_연구진행 점검결과서.hwp	OK	1	422	0	0	0.0	0.905	1
1311000-201100124_D0150006-1-000_(붙임2)과업지시서(특수조건포함).hwp	OK	10	4257	0	0	0.0	0.84	9
21099349_[별지 제22호서식] 청사신축계획서(군산시 공유재산 관리조례 시행규칙).hwp	NOCMP							
18390365_[별지] 개발제한구역 내 전기자동차 충전시설 설치 신청서(세종특별자치시 개발제한구역 내 전기자동차 충전시설 허가기준에 관한 조례).hwp	OK	1	204	0	0	0.0	1.0	1
20809817_[별표 5] 검사(검수) 공무원 기준(서울특별시 노원구 회계관리에 관한 규칙).hwp	OK	1	170	0	0	0.0	0.972	1
18158215_물품관리조례 별표(목포시 물품관리 조례).hwp	NOCMP							
21712343_[별지  제3호서식]평가위원별 채점집계표(울산광역시교육청 협상에 의한 계약 제안서평가위원회 구성 및 운영에 관한 규칙).hwp	OK	1	86	0	0	0.0	0.96	1
21953179_[별지 제9호서식(병)] 시효완성정리표.hwp(양산시 시세 징수조례 시행규칙).hwpx	OK	1	65	0	0	0.0	0.97	1
18856107_[별지 제2호서식] 금품등 수수 신고서(서울특별시 구로구의회 의원 행동강령 조례).hwp	OK	1	7	0	0	0.0	0.89	1
21855989_[별표 1] 대형폐기물의 품목 및 수수료기준(동해시 생활폐기물의 배출방법 및 수수료등의 부과ㆍ징수에 관한 조례).hwp	OK	2	468	0	0	0.0	0.848	1
1130000-202500039_D0150022-1-000_정책연구_윤리_자가점검표.hwp	OK	1	804	0	0	0.0	0.9	1
3164024_별표2 - 의회기모형도(서울특별시 강북구의회 휘장 규칙).hwp	OK	1	94	0	0	0.0	0.889	1
156768975_0701 “호남제일루(湖南第一樓)”, 「남원 광한루」 국보 지정(본문).hwpx	OK	4	1683	0	0	0.0	0.915	1
156531641_[1020]문체부보도자료-제6차 방송영상산업 진흥 중장기계획 수립 위한 3차 토론회 개최.hwpx	OK	4	1346	0	0	0.0	0.75	3
17269263_1-31-02-017-1000_광주시가로등및보안등설치관리조례(2012-01-06_제정)별지5.hwp(광주시 가로등 및 보안등 설치 관리 조례).hwp	OK	1	50	0	0	0.0	1.0	1
36385506_결재문서본문_일상경비 교부 신청( 도시철도토목부).hwpx	OK	2	487	0	0	0.0	0.718	2
21773625_[별표 21] 자연환경보전지역 안에서 건축할 수 있는 건축물(의성군 도시계획 조례).hwp	OK	1	293	0	0	0.0	0.92	1
2999239_[별지 186] 추징보전명령 집행명령(고위공직자범죄수사처 사건사무의 서식에 관한 지침).hwpx	OK	1	136	0	0	0.0	1.0	1
1410000-200700051_D0150004-1-001_평가결과서(우기훈).hwp	OK	1	293	0	0	0.0	0.82	1
1430000-201100006_D0150014-2-006_7_출원일인정요건의_언어문제[1].hwp	OK	9	3937	0	0	0.0	1.0	1
15028761_별지 제9호 서식_ 과태료처분에 대한 이의제기 통보서 _개정 2015.11.12_(서울특별시 구로구 도로점용 허가 및 점용료 등 징수 조례 시행규칙).hwp	OK	1	126	0	0	0.0	1.0	1
36400288_2026년구독대학사업운영시간외근무결과보고(6월).hwpx	OK	2	134	0	0	0.0	0.96	1
1262000-202200018_D0150015-1-001_연구진행 점검결과서 빅데이터.hwp	NOCMP							
3200477_[별표 3] 국제기준등 제ㆍ개정안 검토 요청 관련 처리 절차(제6조 관련)(국제민간항공기구(ICAO) 국제기준 이행관리 지침).hwpx	OK	1	269	0	0	0.0	0.931	1
156506259_(220504)보도자료_해외산림투자 활성화를 위한 국제심포지엄 열어.hwp	OK	3	1182	0	0	0.0	0.83	3
3078025_[별표 3의3] 이익 배당 등의 최저 내부유보비율(제25조 제5항 관련)(금융지주회사감독규정).hwp	OK	2	249	0	0	0.0	0.79	1
36388471_결재문서본문_민방위경보 일일 운영현황 보고(6월 25일).hwpx	OK	1	168	0	0	0.0	0.9	1
1051000-201200071_D0150018-1-000_정책연구_활용결과_보고서(이전용역).hwp	OK	1	329	0	0	0.0	0.94	1
156226884_속기자료.hwp	OK	5	1604	0	0	0.0	0.85	3
21923783_[별지 제1호서식] 고용보조금 신청서(청도군 기업 및 투자유치 촉진 조례 시행규칙).hwp	OK	1	303	0	0	0.0	0.877	1
86892_(규제영향분석서) 시체 해부 및 보존 등에 관한 법률 시행령 일부개정령(안).hwpx	OK	12	2879	0	0	0.0	0.84	3
36421318_결재문서본문.hwpx	OK	2	141	0	0	0.0	0.9	2
21346279_[별지 제5호의2서식] 공개공지 등 관리대장(담양군 건축 조례).hwp	OK	4	363	0	0	0.0	0.94	1
1351000-201300038_D0150010-1-000_정책연구과제_심의신청서(네트워크).hwp	OK	2	1115	0	0	0.0	0.94	1
36477811_결재문서본문.hwpx	OK	2	463	0	0	0.0	0.88	1
3156195_[별지 2] 입주허가서(우주항공청 관사관리 규정).hwpx	OK	1	76	0	0	0.0	0.994	1
2443139_[별지 3] 적극행정면책 검토서(국민권익위원회 적극행정 면책제도 운영규정).hwp	OK	1	163	0	0	0.0	0.94	1
156491201_속기자료.hwp	OK	34	14815	0	0	0.0	0.85	1
20558053_별표 1 ~ 별표 5(완주군 상수도급수 조례).hwp	OK	5	810	0	0	0.0	0.922	5
18702379_[별지 제5호서식] 지명장(구미시 소송사무 처리 규칙).hwp	NOCMP							
1342000-202200075_D0150010-1-000_학생선수 학습권 보호제도 개선방안 연구(중복검사용).hwp	OK	1	443	0	0	0.0	0.925	1
40133_특허법 및 실용신안법 시행규칙 조문별 개정이유서.hwp	OK	12	4872	0	0	0.0	0.904	5
17706197_[별표 1] 공사계획서의 기재요령 및 첨부서류(제3조제1호관련)(송유관 안전관리법 시행규칙).hwp	OK	1	285	0	0	0.0	1.0	1
156375046_속기자료.hwp	OK	25	10746	0	0	0.0	0.85	1
156613642_240202 (조간) 개인정보 보호？활용 기술 생태계 조성을 위한 제2기 「개인정보 기술포럼」 출범(신기술개인정보과).hwpx	OK	4	1682	0	0	0.0	0.71	3
1320000-201900020_D0150014-1-002_중간보고서 최종(1023).hwp	NOSVG							
21138007_[별지 제26호서식 ]과오납금반환청구서(의왕시 지방공기업 상하수도사업 회계 규칙).hwp	OK	1	136	0	0	0.0	0.994	1
21508831_[별지 제2호서식] 삭제_2017. 3. 8._(제주특별자치도 김만덕기념관 설치 및 운영 조례).hwp	OK	1	5	0	0	0.0	1.0	1
1290000-201700041_D0150005-1-000_3.정책연구 평가 결과서(최종).hwp	OK	1	584	0	0	0.0	0.778	1
21786187_[별표 3] 사업소의 소장 및 과장·소장의 직급(제3조제5항 관련)(김해시 행정기구 및 정원 조례 시행규칙).hwp	OK	1	242	0	0	0.0	0.818	1
1170000-201100005_D0150005-1-000_사회적기업-평가결과서(이순태).hwp	OK	1	471	0	0	0.0	0.895	1
1170000-200600019_D0150018-1-001_2006 연구용역 활용결과 보고서(중국 개정회사법 연구)[1].hwp	OK	1	578	0	0	0.0	0.944	1
1280000-201200085_D0150010-3-000_과제_차별성_검토보고서.hwp	OK	1	379	0	0	0.0	0.903	1
156736750_12.24 (보도참고) 바이오허가TF.hwpx	OK	1	487	0	0	0.0	0.859	1
19018025_[별지 제3호서식] 수입증지 요금계기 관리대장(인천광역시 수입증지 조례).hwp	OK	1	16	0	0	0.0	0.98	1
156581598_[보도참고자료] 자립준비청년 장학금 및 취업지원을 위한 민_관 협력 추진.hwpx	OK	4	1129	0	0	0.0	0.834	1
2765673_[별지 4] 생활평가기록부(소방간부후보생 생활규정).hwpx	OK	1	41	0	0	0.0	1.0	1
17944029_[별지 제7호의2서식] 법인의 차량 매매(매도ㆍ매수)관련 취득세 과세자료 통보(지방세법 시행규칙).hwp	OK	1	132	0	0	0.0	0.828	1
1490000-201600090_D0150014-2-001_(160622)공공분과 2차회의개요(안).hwp	OK	2	253	0	0	0.0	0.91	2
3078571_[별지 8] 휴직원(지식재산처 공무직 등 근로자 관리규정).hwpx	OK	1	71	0	0	0.0	0.973	1
85008_(법령안) 학교 밖 청소년 지원에 관한 법률 시행령 일부개정령(안).hwpx	OK	5	439	68	0	0.1549	0.0	1
36411357_결재문서본문.hwpx	OK	2	761	0	0	0.0	0.85	1
1351000-201900223_D0150004-1-001_노인주거복지시설의 적정모형개발 연구.hwp	OK	39	2400	0	0	0.0	0.916	27
19598731_[별지 제1호서식]국립묘지 안장 장례(이장)비 지급신청서(신안군 국가보훈대상자 예우 및 지원에 관한 조례).hwp	OK	1	164	0	0	0.0	0.952	1
20494651_별지 제11호의 7 서식(남동구 공유재산관리 조례 시행규칙).hwp	OK	1	57	0	0	0.0	0.82	1
1320000-201400004_D0150008-1-001_연구자_선정_심의결과서(편의점).hwp	OK	1	296	0	0	0.0	0.94	1
1170000-202300021_D0150018-1-000_정책연구 활용결과 보고서(문장정비_의료_보건 분야(1)).hwp	OK	1	312	0	0	0.0	0.96	1
156721073_[9.23.행사시작(13시30분)이후] 질병관리청장, 호남권 감염병전문병원 건립 현장 방문.hwpx	OK	4	917	0	0	0.0	0.803	3
36501917_결재문서본문.hwpx	OK	1	72	0	0	0.0	0.9	1
156676971_[3월 4일 배포] 국민과 기업 등의 경제활동 규제 개선 법령정비 8개 대통령령안 국무회의 의결.hwpx	OK	3	1529	0	0	0.0	0.85	3
21580381_[별지 제11호서식]도민 및 공무원제안제도 운영실적 및 제안실시 결과(경상북도 제안제도 운영 조례 시행규칙).hwp	OK	2	296	0	0	0.0	0.773	2
20010215_[별지 제1호서식] 가축분뇨 유입처리 신청서(파주시 가축분뇨 관리 및 이용에 관한 조례).hwp	OK	1	189	0	0	0.0	0.795	1
156721448_251023(참고) 전자상거래 등에서의 소비자보호 지침 개정.hwpx	OK	17	4745	0	0	0.0	0.88	1
1351000-202000328_D0150018-1-000_정책연구_활용결과_보고서.hwp	OK	1	383	0	0	0.0	0.94	1
19937105_[별지 제2호서식] 장애인 이동용 보조기기 수리 의뢰서(대전광역시 유성구 장애인 이동용 보조기기 이용 지원 조례).hwpx	OK	1	127	0	0	0.0	0.93	1
39819_090619봉사단발대식보도자료v2.hwp	OK	7	2105	0	0	0.0	0.885	1
1741000-201900035_D0150012-1-000_2019년 종합평가 연구용역 발주계획.hwp	OK	6	1271	0	0	0.0	0.78	2
36351854_결재문서본문.hwpx	OK	2	228	0	0	0.0	0.9	2
21587533_[별지 제2호 서식] 사용허가증(진안군 농특산물 가공시설 설치 운영 조례 시행규칙).hwp	OK	2	417	0	0	0.0	0.98	2
22068431_[별표 1] 귀농인 귀촌인 지원기준(안성시 귀농ㆍ귀촌인 지원 조례).hwpx	OK	1	76	0	0	0.0	0.958	1
19508003_[별지 제7호서식] 연중 활동계획서(남원시 지역자율방재단 운영 등에 관한 조례).hwp	OK	1	56	0	0	0.0	1.0	1
21922627_[별지 제6호서식] 문화센터사용권(전남광주통합특별시 서구 문화센터 운영 조례).hwp	OK	1	185	0	0	0.0	0.973	1
1290000-201800052_D0150014-1-002_중간보고회 요약본(4.27).hwp	OK	10	2724	0	0	0.0	0.87	6
2817635_[별지 8] 기피 신청서(국립중앙도서관과 그 소속도서관 성희롱·성폭력·스토킹 및 2차 피해 예방 지침).hwp	OK	1	109	0	0	0.0	0.86	1
156478609_국가 연구개발 우수성과 100선에 농림식품 분야 성과 9건 선정, 보도자료(11.3, 조간).hwp	OK	17	6716	0	0	0.0	0.75	10
156588560_230905 새만금청 한국정책방송원KTV과 업무협약 체결.hwp	OK	1	461	0	0	0.0	0.87	1
13552783_［별지 제5호서식］경관 심의(자문) 신청서(태안군 경관 조례).hwp	OK	1	99	0	0	0.0	0.991	1
21169847_별표 3(예방접종 지원내용)(괴산군 보건소 수가 조례).hwp	OK	1	4	0	0	0.0	0.97	1
20785523_[별표 1] 의정활동비 지급기준표(홍성군의회의원 의정활동비 등의 지급에 관한 조례).hwp	OK	1	35	0	0	0.0	0.969	1
36492807_결재문서본문.hwpx	OK	1	236	0	0	0.0	0.9	1
21504681_[별지 제4호 서식] 공무원임용후보자 임용통보서(영주시의회 지방공무원 인사 규칙).hwp	OK	2	259	0	0	0.0	0.93	1
2459967_[별지 1] 신고서(개인정보보호위원회 공익신고 처리 및 신고자 보호 등에 관한 규정).hwp	OK	1	30	0	0	0.0	1.0	1
21881569_[별지 제4호서식] 중소기업육성기금 융자업체 관리대장(남양주시 중소기업육성기금 설치 및 운용 조례 시행규칙).hwp	OK	2	91	0	0	0.0	1.0	1
36377400_결재문서본문_52병동간호과 교대근무자 초과근무 명령신청('26.6.25.).hwpx	OK	1	140	0	0	0.0	0.9	1
1192000-201500029_D0150018-1-000_정책연구_활용결과_보고서(1).hwp	OK	1	458	0	0	0.0	0.8	1
36440520_결재문서본문.hwpx	OK	1	123	0	0	0.0	0.73	1
156691074_[보도자료] DMZ의 숨결을 품은 북방계식물, 한 달간 국민과 만나다.hwpx	OK	3	812	0	0	0.0	0.823	1
6500000-202000072_D0150003-2-001_1장 연구의 개요.hwp	OK	4	858	0	0	0.0	1.0	1
2464019_[별지 3] 신고접수 처리부(법무부 청탁금지법 관련 사무 처리지침).hwp	OK	1	28	0	0	0.0	0.89	1
1670000-201000006_D0150004-1-002_2010년_행복청_자체평가지표개발_보고서_20100705.hwp	OK	103	28304	0	0	0.0	0.68	91
156633205_30-3_축사설계와진단이제는모바일로뚝딱(축산원)_(전문지브리핑_중부작물부).hwpx	OK	12	4099	0	0	0.0	0.761	6
148784196_09-18(목)10시30분이후보도참고자료(2015년_교육부_예산안_주요_정책사업_설명자료).hwp	OK	12	3291	0	0	0.0	0.72	3
3196691_[별표 8] 인증신청서의 규격 및 서류편철 방법(제7조제2항 관련)(제작자동차 인증 및 검사 방법과 절차 등에 관한 규정).hwp	OK	1	221	0	0	0.0	0.96	1
156684123_(보도자료)경제부처 합동 해외 인증 장벽 대응을 위한 전국 순회 해외인증 설명회 개최.hwpx	OK	4	1577	0	0	0.0	0.878	3
6290000-202100047_D0150018-1-000_210823 용역결과 자체평가표 및 활용보고(2020년 지방보조사업 운용평가).hwp	OK	2	586	0	0	0.0	0.9	1
1840836_[서식 9] 표준 공표문안 및 활자크기(전기위원회 운영·재정(裁定) 등의 관리에 관한 규정).hwp	OK	1	187	0	0	0.0	0.958	1
36366100_결재문서본문_최종하자검사조서 [일원아리수올림터 전력공급 이중화 자동절체개폐기반 제작구매 설치].hwpx	OK	1	266	0	0	0.0	0.938	1
156545867_(국립종자원) 케이(K)-종자, 세계로 뻗어가는 힘! 「대한민국우수품종상」 대회 출품을 받습니다, 보도자료(1.2. 조간).hwpx	OK	4	991	0	0	0.0	0.86	2
156518568_0728 광복 77주년 기념 청와대 특별공연(본문).hwpx	OK	2	672	0	0	0.0	0.9	2
36310301_결재문서본문.hwpx	OK	4	468	0	0	0.0	0.83	3
20731983_[별지 제2호서식] 읍·면 종합복지회관 사용허가(변경)신청서(하동군 읍ㆍ면 종합복지회관 설치 및 운영 조례).hwp	OK	1	116	0	0	0.0	1.0	1
36480813_결재문서본문.hwpx	OK	1	135	0	0	0.0	0.9	1
36336728_결재문서본문.hwpx	OK	1	230	0	0	0.0	0.9	1
156641828_[24-633](보도자료) 한-캐나다 외교장관회담 개최.hwpx	OK	9	4615	0	0	0.0	0.86	3
13422823_별지 제33호서식(진주시 지방공기업 상수도사업 회계규칙).hwp	OK	1	4	0	0	0.0	1.0	1
156577577_6.28 라오스 정책자문사업 현지 자문 및 세미나 개최(노사발전재단).hwpx	OK	3	1026	0	0	0.0	0.892	1
36450780_결재문서본문.hwpx	OK	2	92	0	0	0.0	0.9	2
18887779_[별표 3] 업종별 요율표(예천군 수도급수 조례).hwp	OK	1	27	0	0	0.0	1.0	1
36378478_결재문서본문_출근 QR 인정 처리.hwpx	OK	1	131	0	0	0.0	0.9	1
3017861_[별지 18] 공직자의 이해충돌 방지법 위반행위 신고 처리결과에 대한 이의신청서(해양경찰청 공직자의 이해충돌 방지제도 운영지침).hwpx	OK	1	24	0	0	0.0	0.89	1
4830000-202400003_D0150004-1-001_[나주시] 초강력레이저_연구과제기획보고서(배기호 교수 작성).hwp	OK	55	21231	0	0	0.0	0.95	50
1490000-200600011_D0150005-1-000_연구결과물평가결과서[3].hwp	OK	1	368	0	0	0.0	0.89	1
20290129_[별표 14] 시간선택제임기제공무원 및 한시임기제공무원의 경력경쟁임용등 응시요건(제15조제8항 관련)(보은군의회 지방공무원 인사 규칙).hwp	OK	4	160	0	0	0.0	0.88	1
2388951_[별지 1] 사적이해관계자 신고 및 회피 신청서(금융위원회 공직자의 이해충돌 방지제도 운영지침).hwp	OK	2	1528	0	0	0.0	0.844	2
17818679_서식1 직무제안서(보은군 제안제도 운영 조례 시행규칙).hwp	OK	2	153	0	0	0.0	0.9	1
1480000-200700170_D0150008-1-000_환경연구사업 서면심의결과(20070627).hwp	OK	2	710	0	0	0.0	0.718	1
1130000-200900015_D0150018-1-001_활용보고서.hwp	OK	1	339	0	0	0.0	0.9	1
156712186_250722_보도자료(국내 첫 연세대 6.25참전 호국영웅 디지털 명비 23일 제막)최종.hwpx	OK	3	1262	0	0	0.0	0.81	3
156611566_240119 새만금 기업투자 뒷받침을 위한 기반시설도 조속히 추진.hwp	OK	2	741	0	0	0.0	0.92	2
156466967_[교육부 08-20(금) 조간보도자료] 3D프린터, 안전하게 사용 하세요(관계부처 합동).hwp	OK	5	1331	0	0	0.0	0.809	1
36395015_결재문서본문_2026년 6월 공용차량 운전자 교육 일지.hwpx	OK	1	639	0	0	0.0	0.929	1
20364683_별지 제3호서식 [6조(실무종합심의회의 기능 및 임무)](통영시 민원조정위원회 운영규칙).hwp	OK	1	75	0	0	0.0	1.0	1
20285141_[별지 제1호서식] 공공인쇄물 광고게재에 따른 광고주 모집(남원시 발간인쇄물의 광고게재에 관한 조례 시행규칙).hwp	OK	1	203	0	0	0.0	1.0	1
1450000-201700101_D0150004-1-001_결과보고서_TISA 전자상거래 영향평가 및 대응전략 수립 최종 사업보고서.hwp	OK	107	2380	0	0	0.0	0.821	89
58015_(법령안)소프트웨어산업 진흥법 시행규칙 일부개정령(안).hwp	OK	4	403	0	0	0.0	0.95	1
1051000-202500036_D0150018-1-000_정책연구_활용결과_보고서 (조세연).hwp	OK	1	96	0	0	0.0	0.97	1
1160100-202100005_D0150010-1-000_정책연구과제 심의신청서.hwp	OK	1	465	0	0	0.0	0.94	1
19947047_[별지 제1호서식] 소송비용 지원 신청서(양평군의회 입법ㆍ법률고문 및 소송비용 지원에 관한 조례).hwp	OK	1	186	0	0	0.0	0.9	1
20976111_【별지 제6호서식】실무수습계획서(대구광역시 서구 지방공무원 인사규칙).hwp	OK	1	114	0	0	0.0	1.0	1
1310000-200600072_D0150018-1-001_활용결과_보고서(주민참여실태조사)_1255510804564.hwp	OK	1	490	0	0	0.0	0.662	1
156742670_분산특구의 속도감 있는 추진을 위해 민관 합동 추진단 본격 가동(보도자료)(분산에너지 2.3).hwpx	OK	4	1570	0	0	0.0	0.92	1
79220_(조문별 제개정 이유서) 자율운항선박 개발 및 상용화 촉진에 관한 법률 시행령 제정(안).hwpx	OK	2	518	0	0	0.0	0.898	1
3119275_[별표 4] 선박수리 제한구역(제35조 관련)(군산·장항항 항만시설 운영세칙).hwp	OK	1	136	0	0	0.0	0.97	1
156582776_(보도자료) 최초 가상 융합기술 기반 교육훈련 플랫폼 연구개발 사업 착수에 나섰다!.hwpx	OK	2	619	0	0	0.0	0.95	1
21401527_[별지 제2호서식] 의정부시 장애인보장구 수리업체 지정서(의정부시 장애인보장구 수리비용 지원 조례).hwp	OK	1	78	0	0	0.0	0.97	1
1520000-200600030_D0150008-1-000_3.심의결과서(등록).hwp	OK	1	199	0	0	0.0	0.8	1
5468890_[별지 제14호서식] 지방세 세무조사 기간연장 신청에 대한 의견 통보(대구광역시 납세자보호에 관한 사무처리 조례 시행규칙).hwp	OK	1	233	0	0	0.0	0.81	1
156745684_20260224_보도자료_기상청-한국전기안전공사 '기상기후·전기안전 융합서비스’ 개발 맞손.hwp	OK	3	722	0	0	0.0	0.857	1
79536_(조문별 제개정 이유서) 여성폭력방지기본법 시행령 일부개정령(안).hwp	OK	2	372	0	0	0.0	0.84	1
2775413_[별지 22] 일시적재신고서(보세화물 입출항 하선 하기 및 적재에 관한 고시).hwpx	OK	1	126	0	0	0.0	0.97	1
1490000-201300030_D0150010-1-000_산학캠퍼스 연구과제 신청서.hwp	OK	2	472	0	0	0.0	0.809	1
156500168_(별첨) 코로나19 관련 홍보자료 31종(12.1.기준).hwp	OK	48	3454	0	0	0.0	0.76	1
20217949_[별지 제2호서식] 환경미화원 출근부(창원시 환경미화원 고용 및 복무 규칙).hwp	NOCMP							
1741000-201700010_D0150019-1-000_윤리서약서.hwp	OK	5	5	0	0	0.0	0.94	1
21342827_[별지 제7호서식] 차량운행일지(양양군 공용차량 관리에 관한 규칙).hwp	OK	2	327	0	0	0.0	0.865	1
21650495_[별지 제4호서식] 심의의결대장(울산광역시정조정위원회 조례 시행규칙).hwp	OK	1	10	0	0	0.0	1.0	1
148772228_속기자료.hwp	OK	6	2176	0	0	0.0	0.85	1
156313724_속기자료.hwp	OK	1	229	0	0	0.0	0.85	1
1250000-200900011_D0150004-2-001_프로그램매뉴얼(교육훈련2과).hwp	OK	134	51413	0	0	0.0	0.865	64
156582663_속기자료.hwp	OK	8	2886	0	0	0.0	0.85	5
156627007_240425(조간)_가덕도신공항건설공단_슬로건(가덕도신공항건립추진단).hwpx	OK	2	412	0	0	0.0	0.917	1
156531082_221017_보도자료_청소년쉼터 종사자 간담회_최종배포본.hwpx	OK	4	1475	0	0	0.0	0.764	4
156343153_속기자료.hwp	OK	2	554	0	0	0.0	0.85	1
36331167_결재문서본문.hwpx	OK	2	257	0	0	0.0	0.9	2
82670_(법령안) 조달청과 그 소속기관 직제 시행규칙 일부개정령(안).hwpx	OK	12	2360	0	0	0.0	0.97	1
18260239_여주시 여성장애인 출산지원금 지급 조례(여주시 여성장애인 출산지원금 지급 조례).hwp	OK	7	2061	0	0	0.0	0.83	7
18672349_별표5의3(시간선택제임기제공무원 및 한시임기제공무원의 경력경쟁임용 등 응시요건)(고성군 지방공무원 인사 규칙).hwp	OK	3	109	0	0	0.0	0.801	1
59093_조문별 개정이유서.hwp	OK	1	185	0	0	0.0	0.942	1
19584493_별표1(안성시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례).hwp	OK	6	548	0	0	0.0	0.93	1
3021329_[서식 8] 공익신고 사항 처리절차 유의사항(교육부 공익신고 처리 및 신고자 보호 등에 관한 운영지침).hwp	OK	1	105	0	0	0.0	0.884	1
156752673_붙임) 국영문 이력서.hwp	OK	6	475	0	0	0.0	1.0	1
17339423_별지 제1호 서식(농기계 임대차 관리대장)(대구광역시 군위군 농기계 임대사업 운영 조례 시행규칙).hwp	OK	1	65	0	0	0.0	0.87	1
3067611_[별표 2의3] 보호지역의 표지(국립농업과학원 보안업무규정 시행세칙).hwpx	OK	1	8	0	0	0.0	1.0	1
13577369_별지(고창군 마을공방 운영관리 조례).hwp	OK	2	264	0	0	0.0	0.823	1
20120473_별지 제6호서식(괴산군의회 의원 연구단체 구성 및 운영 조례).hwp	OK	1	163	0	0	0.0	0.94	1
21103673_별표 3. 가로수 관리시설물 규격(양주시 도시숲 등의 조성 및 관리 조례).hwp	OK	1	169	0	0	0.0	1.0	1
