face	code	char	adv_em
한양견고딕	32	' '	0.4968
한양견고딕	33	'!'	0.3341
한양견고딕	35	'#'	0.5825
한양견고딕	36	'$'	0.5569
한양견고딕	37	'%'	0.9081
한양견고딕	38	'&'	0.7110
한양견고딕	40	'('	0.3684
한양견고딕	41	')'	0.3770
한양견고딕	42	'*'	0.4198
한양견고딕	43	'+'	0.5226
한양견고딕	44	','	0.3256
한양견고딕	45	'-'	0.5140
한양견고딕	46	'.'	0.3256
한양견고딕	47	'/'	0.3427
한양견고딕	48	'0'	0.5654
한양견고딕	49	'1'	0.5654
한양견고딕	50	'2'	0.5654
한양견고딕	51	'3'	0.5654
한양견고딕	52	'4'	0.5654
한양견고딕	53	'5'	0.5654
한양견고딕	54	'6'	0.5654
한양견고딕	55	'7'	0.5654
한양견고딕	56	'8'	0.5654
한양견고딕	57	'9'	0.5654
한양견고딕	58	':'	0.3256
한양견고딕	59	';'	0.3256
한양견고딕	60	'<'	0.7196
한양견고딕	61	'='	0.5226
한양견고딕	62	'>'	0.7025
한양견고딕	63	'?'	0.6082
한양견고딕	64	'@'	1.0023
한양견고딕	65	'A'	0.7196
한양견고딕	66	'B'	0.7196
한양견고딕	67	'C'	0.7196
한양견고딕	68	'D'	0.7196
한양견고딕	69	'E'	0.6682
한양견고딕	70	'F'	0.6082
한양견고딕	71	'G'	0.7796
한양견고딕	72	'H'	0.7196
한양견고딕	73	'I'	0.2741
한양견고딕	74	'J'	0.5569
한양견고딕	75	'K'	0.7196
한양견고딕	76	'L'	0.6082
한양견고딕	77	'M'	0.8310
한양견고딕	78	'N'	0.7196
한양견고딕	79	'O'	0.7796
한양견고딕	80	'P'	0.6682
한양견고딕	81	'Q'	0.7710
한양견고딕	82	'R'	0.7196
한양견고딕	83	'S'	0.6682
한양견고딕	84	'T'	0.6082
한양견고딕	85	'U'	0.7196
한양견고딕	86	'V'	0.6682
한양견고딕	87	'W'	0.9424
한양견고딕	88	'X'	0.6682
한양견고딕	89	'Y'	0.6682
한양견고딕	90	'Z'	0.6082
한양견고딕	91	'['	0.3341
한양견고딕	92	'\\'	0.3427
한양견고딕	93	']'	0.3341
한양견고딕	94	'^'	0.4284
한양견고딕	95	'_'	0.4968
한양견고딕	96	'`'	0.2656
한양견고딕	97	'a'	0.5569
한양견고딕	98	'b'	0.6082
한양견고딕	99	'c'	0.5569
한양견고딕	100	'd'	0.6082
한양견고딕	101	'e'	0.5569
한양견고딕	102	'f'	0.3341
한양견고딕	103	'g'	0.6082
한양견고딕	104	'h'	0.6082
한양견고딕	105	'i'	0.2741
한양견고딕	106	'j'	0.2741
한양견고딕	107	'k'	0.5569
한양견고딕	108	'l'	0.2741
한양견고딕	109	'm'	0.8910
한양견고딕	110	'n'	0.6082
한양견고딕	111	'o'	0.6082
한양견고딕	112	'p'	0.6082
한양견고딕	113	'q'	0.6082
한양견고딕	114	'r'	0.3855
한양견고딕	115	's'	0.5569
한양견고딕	116	't'	0.3341
한양견고딕	117	'u'	0.6082
한양견고딕	118	'v'	0.5569
한양견고딕	119	'w'	0.7796
한양견고딕	120	'x'	0.5569
한양견고딕	121	'y'	0.5569
한양견고딕	122	'z'	0.4968
한양견고딕	123	'{'	0.4026
한양견고딕	124	'|'	0.2998
한양견고딕	125	'}'	0.4026
한양견고딕	126	'~'	0.4968
