face	code	char	adv_em
한양견명조	32	' '	0.4969
한양견명조	33	'!'	0.4026
한양견명조	35	'#'	0.4626
한양견명조	36	'$'	0.6340
한양견명조	37	'%'	0.9509
한양견명조	38	'&'	0.8395
한양견명조	40	'('	0.4026
한양견명조	41	')'	0.3855
한양견명조	42	'*'	0.5311
한양견명조	43	'+'	0.6340
한양견명조	44	','	0.2828
한양견명조	45	'-'	0.6425
한양견명조	46	'.'	0.3169
한양견명조	47	'/'	0.4198
한양견명조	48	'0'	0.5654
한양견명조	49	'1'	0.5654
한양견명조	50	'2'	0.5654
한양견명조	51	'3'	0.5654
한양견명조	52	'4'	0.5654
한양견명조	53	'5'	0.5654
한양견명조	54	'6'	0.5654
한양견명조	55	'7'	0.5654
한양견명조	56	'8'	0.5654
한양견명조	57	'9'	0.5654
한양견명조	58	':'	0.3341
한양견명조	59	';'	0.3427
한양견명조	60	'<'	0.7367
한양견명조	61	'='	0.6425
한양견명조	62	'>'	0.7367
한양견명조	63	'?'	0.5654
한양견명조	64	'@'	0.9338
한양견명조	65	'A'	0.8139
한양견명조	66	'B'	0.8053
한양견명조	67	'C'	0.7538
한양견명조	68	'D'	0.7967
한양견명조	69	'E'	0.7196
한양견명조	70	'F'	0.7025
한양견명조	71	'G'	0.8139
한양견명조	72	'H'	0.8310
한양견명조	73	'I'	0.3770
한양견명조	74	'J'	0.5140
한양견명조	75	'K'	0.8567
한양견명조	76	'L'	0.6939
한양견명조	77	'M'	0.9852
한양견명조	78	'N'	0.8139
한양견명조	79	'O'	0.7967
한양견명조	80	'P'	0.6768
한양견명조	81	'Q'	0.8139
한양견명조	82	'R'	0.7453
한양견명조	83	'S'	0.6854
한양견명조	84	'T'	0.8224
한양견명조	85	'U'	0.8139
한양견명조	86	'V'	0.8053
한양견명조	87	'W'	1.0709
한양견명조	88	'X'	0.7967
한양견명조	89	'Y'	0.7967
한양견명조	90	'Z'	0.6511
한양견명조	91	'['	0.3941
한양견명조	92	'\\'	0.4198
한양견명조	93	']'	0.3855
한양견명조	94	'^'	0.4198
한양견명조	95	'_'	0.4968
한양견명조	96	'`'	0.3855
한양견명조	97	'a'	0.5483
한양견명조	98	'b'	0.5911
한양견명조	99	'c'	0.5226
한양견명조	100	'd'	0.5825
한양견명조	101	'e'	0.5226
한양견명조	102	'f'	0.4369
한양견명조	103	'g'	0.6253
한양견명조	104	'h'	0.5997
한양견명조	105	'i'	0.3084
한양견명조	106	'j'	0.3256
한양견명조	107	'k'	0.5997
한양견명조	108	'l'	0.3084
한양견명조	109	'm'	0.8910
한양견명조	110	'n'	0.6168
한양견명조	111	'o'	0.5569
한양견명조	112	'p'	0.5825
한양견명조	113	'q'	0.5825
한양견명조	114	'r'	0.4454
한양견명조	115	's'	0.5226
한양견명조	116	't'	0.3855
한양견명조	117	'u'	0.5997
한양견명조	118	'v'	0.6253
한양견명조	119	'w'	0.8652
한양견명조	120	'x'	0.6340
한양견명조	121	'y'	0.6082
한양견명조	122	'z'	0.5140
한양견명조	123	'{'	0.4540
한양견명조	124	'|'	0.3084
한양견명조	125	'}'	0.4540
한양견명조	126	'~'	0.4968
