face	code	char	adv_em
한양신명조	32	' '	0.5054
한양신명조	33	'!'	0.3256
한양신명조	35	'#'	0.4540
한양신명조	36	'$'	0.5997
한양신명조	37	'%'	0.9166
한양신명조	38	'&'	0.8139
한양신명조	40	'('	0.3941
한양신명조	41	')'	0.3770
한양신명조	42	'*'	0.5226
한양신명조	43	'+'	0.5654
한양신명조	44	','	0.2313
한양신명조	45	'-'	0.5739
한양신명조	46	'.'	0.2399
한양신명조	47	'/'	0.3941
한양신명조	48	'0'	0.4968
한양신명조	49	'1'	0.4968
한양신명조	50	'2'	0.4968
한양신명조	51	'3'	0.4968
한양신명조	52	'4'	0.4968
한양신명조	53	'5'	0.4968
한양신명조	54	'6'	0.4968
한양신명조	55	'7'	0.4968
한양신명조	56	'8'	0.4968
한양신명조	57	'9'	0.4968
한양신명조	58	':'	0.2741
한양신명조	59	';'	0.2913
한양신명조	60	'<'	0.7282
한양신명조	61	'='	0.5739
한양신명조	62	'>'	0.7367
한양신명조	63	'?'	0.5140
한양신명조	64	'@'	0.9166
한양신명조	65	'A'	0.7967
한양신명조	66	'B'	0.7025
한양신명조	67	'C'	0.6939
한양신명조	68	'D'	0.7453
한양신명조	69	'E'	0.6768
한양신명조	70	'F'	0.6511
한양신명조	71	'G'	0.7453
한양신명조	72	'H'	0.7796
한양신명조	73	'I'	0.3341
한양신명조	74	'J'	0.4540
한양신명조	75	'K'	0.7881
한양신명조	76	'L'	0.6425
한양신명조	77	'M'	0.9595
한양신명조	78	'N'	0.7796
한양신명조	79	'O'	0.7453
한양신명조	80	'P'	0.6253
한양신명조	81	'Q'	0.7538
한양신명조	82	'R'	0.7025
한양신명조	83	'S'	0.6511
한양신명조	84	'T'	0.7710
한양신명조	85	'U'	0.7710
한양신명조	86	'V'	0.7796
한양신명조	87	'W'	1.0366
한양신명조	88	'X'	0.7538
한양신명조	89	'Y'	0.7710
한양신명조	90	'Z'	0.5997
한양신명조	91	'['	0.3598
한양신명조	92	'\\'	0.3941
한양신명조	93	']'	0.3512
한양신명조	94	'^'	0.4284
한양신명조	95	'_'	0.4968
한양신명조	96	'`'	0.3855
한양신명조	97	'a'	0.5055
한양신명조	98	'b'	0.5569
한양신명조	99	'c'	0.4883
한양신명조	100	'd'	0.5397
한양신명조	101	'e'	0.4797
한양신명조	102	'f'	0.3512
한양신명조	103	'g'	0.5911
한양신명조	104	'h'	0.5569
한양신명조	105	'i'	0.2741
한양신명조	106	'j'	0.3169
한양신명조	107	'k'	0.5569
한양신명조	108	'l'	0.2741
한양신명조	109	'm'	0.8567
한양신명조	110	'n'	0.5654
한양신명조	111	'o'	0.5140
한양신명조	112	'p'	0.5311
한양신명조	113	'q'	0.5483
한양신명조	114	'r'	0.4026
한양신명조	115	's'	0.4883
한양신명조	116	't'	0.3512
한양신명조	117	'u'	0.5654
한양신명조	118	'v'	0.5825
한양신명조	119	'w'	0.8395
한양신명조	120	'x'	0.5911
한양신명조	121	'y'	0.5739
한양신명조	122	'z'	0.4712
한양신명조	123	'{'	0.4198
한양신명조	124	'|'	0.2828
한양신명조	125	'}'	0.4198
한양신명조	126	'~'	0.4968
