face	code	char	adv_em
한양중고딕	32	' '	0.5055
한양중고딕	33	'!'	0.2485
한양중고딕	35	'#'	0.5311
한양중고딕	36	'$'	0.5311
한양중고딕	37	'%'	0.8652
한양중고딕	38	'&'	0.6425
한양중고딕	40	'('	0.2913
한양중고딕	41	')'	0.2828
한양중고딕	42	'*'	0.3684
한양중고딕	43	'+'	0.5140
한양중고딕	44	','	0.2485
한양중고딕	45	'-'	0.5140
한양중고딕	46	'.'	0.2485
한양중고딕	47	'/'	0.2656
한양중고딕	48	'0'	0.4968
한양중고딕	49	'1'	0.4968
한양중고딕	50	'2'	0.4968
한양중고딕	51	'3'	0.4968
한양중고딕	52	'4'	0.4968
한양중고딕	53	'5'	0.4968
한양중고딕	54	'6'	0.4968
한양중고딕	55	'7'	0.4968
한양중고딕	56	'8'	0.4968
한양중고딕	57	'9'	0.4968
한양중고딕	58	':'	0.2485
한양중고딕	59	';'	0.2485
한양중고딕	60	'<'	0.5825
한양중고딕	61	'='	0.5226
한양중고딕	62	'>'	0.5825
한양중고딕	63	'?'	0.5226
한양중고딕	64	'@'	1.0023
한양중고딕	65	'A'	0.6340
한양중고딕	66	'B'	0.6253
한양중고딕	67	'C'	0.7025
한양중고딕	68	'D'	0.6939
한양중고딕	69	'E'	0.6511
한양중고딕	70	'F'	0.5911
한양중고딕	71	'G'	0.7538
한양중고딕	72	'H'	0.6854
한양중고딕	73	'I'	0.2485
한양중고딕	74	'J'	0.4712
한양중고딕	75	'K'	0.6340
한양중고딕	76	'L'	0.5397
한양중고딕	77	'M'	0.8053
한양중고딕	78	'N'	0.6939
한양중고딕	79	'O'	0.7453
한양중고딕	80	'P'	0.6340
한양중고딕	81	'Q'	0.7538
한양중고딕	82	'R'	0.6939
한양중고딕	83	'S'	0.6340
한양중고딕	84	'T'	0.5825
한양중고딕	85	'U'	0.6854
한양중고딕	86	'V'	0.6340
한양중고딕	87	'W'	0.8995
한양중고딕	88	'X'	0.6168
한양중고딕	89	'Y'	0.6168
한양중고딕	90	'Z'	0.5825
한양중고딕	91	'['	0.2570
한양중고딕	92	'\\'	0.2828
한양중고딕	93	']'	0.2570
한양중고딕	94	'^'	0.4454
한양중고딕	95	'_'	0.4968
한양중고딕	96	'`'	0.2570
한양중고딕	97	'a'	0.5311
한양중고딕	98	'b'	0.5226
한양중고딕	99	'c'	0.4797
한양중고딕	100	'd'	0.5311
한양중고딕	101	'e'	0.5311
한양중고딕	102	'f'	0.2570
한양중고딕	103	'g'	0.5311
한양중고딕	104	'h'	0.5311
한양중고딕	105	'i'	0.1971
한양중고딕	106	'j'	0.1971
한양중고딕	107	'k'	0.4712
한양중고딕	108	'l'	0.1971
한양중고딕	109	'm'	0.8053
한양중고딕	110	'n'	0.5311
한양중고딕	111	'o'	0.5397
한양중고딕	112	'p'	0.5311
한양중고딕	113	'q'	0.5311
한양중고딕	114	'r'	0.3084
한양중고딕	115	's'	0.4797
한양중고딕	116	't'	0.2570
한양중고딕	117	'u'	0.5311
한양중고딕	118	'v'	0.4797
한양중고딕	119	'w'	0.6939
한양중고딕	120	'x'	0.4712
한양중고딕	121	'y'	0.4626
한양중고딕	122	'z'	0.4883
한양중고딕	123	'{'	0.3084
한양중고딕	124	'|'	0.2399
한양중고딕	125	'}'	0.3084
한양중고딕	126	'~'	0.4968
