face	code	char	adv_em
휴먼명조	32	' '	0.5054
휴먼명조	33	'!'	0.2056
휴먼명조	35	'#'	0.6596
휴먼명조	36	'$'	0.5055
휴먼명조	37	'%'	0.7538
휴먼명조	38	'&'	0.7710
휴먼명조	40	'('	0.3084
휴먼명조	41	')'	0.3084
휴먼명조	42	'*'	0.4968
휴먼명조	43	'+'	0.4968
휴먼명조	44	','	0.2656
휴먼명조	45	'-'	0.4968
휴먼명조	46	'.'	0.2656
휴먼명조	47	'/'	0.3084
휴먼명조	48	'0'	0.4968
휴먼명조	49	'1'	0.4968
휴먼명조	50	'2'	0.4968
휴먼명조	51	'3'	0.4968
휴먼명조	52	'4'	0.4968
휴먼명조	53	'5'	0.4968
휴먼명조	54	'6'	0.4968
휴먼명조	55	'7'	0.4968
휴먼명조	56	'8'	0.4968
휴먼명조	57	'9'	0.4968
휴먼명조	58	':'	0.2656
휴먼명조	59	';'	0.2656
휴먼명조	60	'<'	0.4968
휴먼명조	61	'='	0.4968
휴먼명조	62	'>'	0.4968
휴먼명조	63	'?'	0.4284
휴먼명조	64	'@'	0.7796
휴먼명조	65	'A'	0.6596
휴먼명조	66	'B'	0.5997
휴먼명조	67	'C'	0.6425
휴먼명조	68	'D'	0.6768
휴먼명조	69	'E'	0.6253
휴먼명조	70	'F'	0.5825
휴먼명조	71	'G'	0.7025
휴먼명조	72	'H'	0.6768
휴먼명조	73	'I'	0.2570
휴먼명조	74	'J'	0.3941
휴먼명조	75	'K'	0.6425
휴먼명조	76	'L'	0.5739
휴먼명조	77	'M'	0.7796
휴먼명조	78	'N'	0.6939
휴먼명조	79	'O'	0.7110
휴먼명조	80	'P'	0.5739
휴먼명조	81	'Q'	0.6854
휴먼명조	82	'R'	0.6511
휴먼명조	83	'S'	0.4968
휴먼명조	84	'T'	0.6253
휴먼명조	85	'U'	0.6768
휴먼명조	86	'V'	0.6596
휴먼명조	87	'W'	0.9338
휴먼명조	88	'X'	0.7110
휴먼명조	89	'Y'	0.6682
휴먼명조	90	'Z'	0.5997
휴먼명조	91	'['	0.3169
휴먼명조	92	'\\'	0.3084
휴먼명조	93	']'	0.3169
휴먼명조	94	'^'	0.3598
휴먼명조	95	'_'	0.4968
휴먼명조	96	'`'	0.3256
휴먼명조	97	'a'	0.5055
휴먼명조	98	'b'	0.5397
휴먼명조	99	'c'	0.4883
휴먼명조	100	'd'	0.5055
휴먼명조	101	'e'	0.5226
휴먼명조	102	'f'	0.3941
휴먼명조	103	'g'	0.5140
휴먼명조	104	'h'	0.5569
휴먼명조	105	'i'	0.2485
휴먼명조	106	'j'	0.2656
휴먼명조	107	'k'	0.5226
휴먼명조	108	'l'	0.2485
휴먼명조	109	'm'	0.7967
휴먼명조	110	'n'	0.5483
휴먼명조	111	'o'	0.5140
휴먼명조	112	'p'	0.5397
휴먼명조	113	'q'	0.5397
휴먼명조	114	'r'	0.4026
휴먼명조	115	's'	0.4112
휴먼명조	116	't'	0.3427
휴먼명조	117	'u'	0.5397
휴먼명조	118	'v'	0.5397
휴먼명조	119	'w'	0.7196
휴먼명조	120	'x'	0.4883
휴먼명조	121	'y'	0.5140
휴먼명조	122	'z'	0.4540
휴먼명조	123	'{'	0.2913
휴먼명조	124	'|'	0.2056
휴먼명조	125	'}'	0.2913
휴먼명조	126	'~'	0.4968
